12674,4, 10992.3575, 1.0, 1740969.230751434
10952,17
10692,19
11646,8
11686,7
10893,10
10436,15
10921,15
11347,14
10550,12
11461,9
10257,11
11087,14
9729,2
10330,11
10932,15
10945,17
11370,7
10451,8
11877,4
10259,10
10610,16
10238,12
11103,17
10874,14
10941,19
11126,9
11084,11
11434,11
10536,14
11173,8
10582,9
11195,9
10786,11
10685,14
11892,4
12666,1
10995,16
10116,4
11704,7
11732,7
10803,18
10698,18
12426,2
10254,13
11204,14
10185,7
10545,10
12271,5
11621,5
11867,4
11945,5
10678,13
10912,18
10317,9
11352,14
10660,11
11650,9
11526,5
12333,3
10591,9
10392,15
10080,6
11144,14
10581,18
12161,4
10171,5
10402,11
10748,13
11501,12
11023,17
10887,10
10813,16
9811,1
11119,9
10705,15
12069,3
10619,10
11286,13
10175,7
11252,5
10978,9
10799,12
11123,20
10349,7
10340,10
12628,3
11162,12
11287,12
10784,11
11051,14
10229,9
10996,10
11810,6
10756,17
10572,15
11544,9
10396,12
10824,8
11678,4
10280,12
11369,8
10431,16
10512,14
10765,16
11010,24
11836,1
9783,1
10802,15
10778,19
10861,13
12081,5
10628,9
10519,15
10836,13
10474,12
10580,12
11940,1
11160,12
11647,9
10477,15
10846,7
11477,6
11404,8
12834,3
10363,8
10388,17
12344,1
12149,4
11178,8
10568,13
11383,10
10884,15
10899,15
10510,20
10809,17
11804,4
11304,8
10647,15
10875,10
10576,11
10714,24
11381,12
11885,9
11934,4
10304,12
10675,22
10312,11
11388,4
11626,5
10454,11
10250,10
10584,14
11161,8
11761,5
11363,5
10318,14
10652,10
12164,2
10913,10
10557,17
11627,8
10758,13
11999,2
10206,13
10963,19
10723,11
10669,13
10994,9
11466,6
10729,10
10962,15
10497,16
10370,7
12021,6
11687,4
10215,7
11488,8
10695,19
10617,16
10687,16
10974,16
10574,12
10666,18
10779,15
10513,12
10782,14
11189,13
10243,9
10297,12
10476,17
10791,15
11762,7
10688,15
11273,11
11058,12
10896,10
10828,18
10918,15
10386,11
11696,6
10500,16
10757,16
11290,11
11372,5
10118,8
12051,4
12441,1
9844,1
11823,6
11523,10
11527,9
10412,9
10594,10
9985,7
10777,12
10484,8
11569,5
10041,5
11889,2
10840,8
9982,3
11121,8
10526,17
10653,18
10492,13
10720,14
11426,6
10984,11
10121,7
11180,7
10761,11
11444,6
11601,8
10595,9
11619,11
10198,11
11493,3
10273,14
10916,16
10494,10
11715,5
12055,6
11185,9
11335,10
10922,18
10900,21
12908,1
9998,5
11349,14
11599,7
11170,11
11159,9
10785,11
11267,7
10985,17
10939,20
12520,1
11064,15
10446,11
11417,6
10661,20
11484,11
11433,6
11572,8
